ProductId,FullName,Price,ProductPopularity,ProductReorderRate,OftenBoughtWith
13,Adult Cats Chicken - сухий корм з куркою для дорослих котів (14 кг),2086,522,80.0,80.0
12,Adult Medium Breeds - сухий корм для дорослих собак середніх порід (2 кг),306,413,61.0,13.0
6,Adult Small Breeds Lamb & Rice - гіпоалергенний сухий корм з ягням  та рисом для дорослих собак малих порід (2 кг),634,644,101.0,63.0
15,- вологий корм із лососем у желе для дорослих котів (24x85 г),360,592,113.0,28.0
8,- вологий корм з телятиною в соусі для дорослих котів (24x85 г),360,547,90.0,25.0
14,Adult Cats Indoor 4 in 1 - сухий корм для котів без доступу на вулицю (2 кг),360,2780,486.0,13.0
7,- вологий корм з куркою в соусі для дорослих котів (85 г),360,2085,379.0,8.0
50,- вологий корм із кроликом у желе для дорослих котів (85 г),135,2202,428.0,7.0
60,Kittens Chicken - cухий корм з куркою для кошенят (300 гр),58,977,168.0,40.0
16,- вологий корм з макреллю в соусі для дорослих котів (24x100 г),360,309,48.0,29.0
41,- вологий корм з яловичиною в желе для дорослих котів (24x100 г),360,376,56.0,91.0
18,Adult Cats Rabbit - сухий корм з кроликом для дорослих котів (2 кг),305,3752,668.0,15.0
42,Adult Cats Sterilised - сухий корм для стерилізованих кішок (2 кг),360,5748,1064.0,6.0
20,- вологий корм із лососем у желе для дорослих котів (85 г),90,2096,410.0,8.0
90,Adult Cats Chicken - сухий корм з куркою для дорослих котів (900 гр),137,2408,452.0,12.0
85,Adult Large Breeds - сухий корм для дорослих собак великих порід (14 кг),1298,1850,297.0,13.0
64,Adult Small Breeds - сухий корм з куркою для дорослих собак малих порід (14 кг),1699,229,30.0,36.0
56,- м'ясна паличка з куркою та фореллю для котів (5 гр.),12,1753,289.0,20.0
57,- м'ясна паличка з індичкою та кроликом для котів (5 г),36,964,151.0,20.0
31,- м'ясна паличка з лососем і тріскою для котів (),12,1568,240.0,18.0
43,"Selection Adult Cats with Duck & Vegetables - cухий корм з качкою та овочами для дорослих котів (1,5 кг)",305,178,7.0,22.0
73,"Selection Adult Cats Turkey & Vegetables - сухий корм з індичкою для дорослих котів (1,5 кг)",610,157,6.0,21.0
51,Adult Cats with Veal - сухий корм з телятиною для дорослих котів (14 кг),2086,390,56.0,1.0
34,- жувальна палички Dental Sticks для дорослих собак (чистка зубів) (77 гр),156,361,56.0,70.0
33,- вологий корм з куркою в соусі для дорослих котів (24x85 г),360,668,115.0,28.0
93,- вологий корм з кроликом для стерилізованих котів (24x80 г),384,52,8.0,65.0
52,Adult Cats Sterilised - сухий корм для стерилізованих кішок (14 кг),2287,805,122.0,31.0
134,- вологий корм із кроликом у желе для дорослих котів (24x85 г),360,577,103.0,25.0
9,- вологий корм з ягням у соусі для дорослих котів (24x100 г),360,464,74.0,91.0
44,Adult Cats Sensitive Digestion - сухий корм для котів з чутливим травленням (14 кг),2288,180,29.0,100.0
19,Adult Medium Breeds - сухий корм для дорослих собак середніх порід (14 кг),1298,1308,228.0,13.0
36,- вологий корм з індичкою в желе для дорослих котів (24x100 г),360,438,70.0,91.0
81,Adult Cats Hairball Control - сухий корм з ефектом виведення шерсті з травного тракту у котів (300 гр),69,1134,188.0,57.0
139,Adult Cats Urinary Health - cухий корм для підтримки здоров'я сечовивідної системи котів (2 кг),360,1145,212.0,60.0
40,Adult Medium & Large Breeds Light - сухий корм з індичкою для дорослих собак середніх та великих порід схильних до ожиріння (контроль ваги) (5 кг),607,232,37.0,24.0
68,Adult Dog Small Breeds with Lamb in gravy - вологий корм з ягням у соусі для дорослих собак малих порід (100 г),45,961,170.0,48.0
27,Plus Selection - вологий корм зі шматочками оселедця та салаки в желе для дорослих котів (80 г),34,216,32.0,83.0
140,Selection - вологий корм зі смужками кролика в соусі для дорослих котів (12x85 г),216,53,5.0,117.0
71,Selection - вологий корм зі смужками курки в соусі для дорослих котів (12x85 г),216,43,6.0,118.0
83,- вологий корм з індичкою в желе для кошенят (80 г),42,881,163.0,45.0
45,- вологий корм з ягням у соусі для дорослих котів (100 г),30,1838,325.0,42.0
25,- вологий корм з качкою в соусі для дорослих котів (100 г),30,1738,285.0,41.0
48,- вологий корм з макреллю в соусі для дорослих котів (100 г),30,1294,205.0,41.0
142,- вологий корм із тріскою в желе для дорослих котів (80 г),30,975,144.0,41.0
141,- вологий корм з куркою в соусі для кошенят (80 г),28,687,112.0,40.0
3,- вологий корм з кроликом для стерилізованих котів (80 г),32,222,35.0,93.0
63,Puppies All Breeds - сухий корм з куркою для цуценят усіх порід (14 кг),1539,552,80.0,31.0
4,Adult Dog Small Breeds with Chicken in jelly - вологий корм  з куркою в желе для дорослих собак малих порід (100 г),360,665,117.0,36.0
72,Puppies All Breeds with Turkey in gravy - вологий корм з індичкою в соусі для цуценят (100 г),360,388,73.0,36.0
28,- вологий корм з телятиною в соусі для дорослих котів (85 г),135,2010,372.0,8.0
100,- вологий корм з індичкою в желе для дорослих котів (100 г),30,1178,171.0,42.0
54,Adult Cats with Veal - сухий корм з телятиною для дорослих котів (300 гр),61,1086,182.0,57.0
