ProductId,FullName,Price,ProductPopularity,ProductReorderRate,OftenBoughtWith
4,Беззерновий сухий корм Optimeal Beauty з морепродуктами для підтримки загального фізичного стану у дорослих собак усіх порід (4 кг),"966,42",52,8.0,79.0
47,Сухий корм Optimeal з високим вмістом телятини для дорослих котів (1.5 кг),"359,58",778,108.0,51.0
13,Гіпоалергенний сухий корм Optimeal з лососем для дорослих собак середніх та великих порід (12 кг),2603,291,55.0,84.0
10,"Сухий корм Optimeal з високим вмістом яловичини та сорго для стерилізованих кішок та кастрованих котів (1,5 кг)","383,76",3051,551.0,10.0
40,"Сухий корм Optimeal з лососем для стерилізованих кішок та кастрованих котів (1,5 кг)","421,98",1494,182.0,4.0
31,Сухий корм Optimeal з індичкою для дорослих собак середніх порід (1.5 кг),"258,96",91,13.0,38.0
5,Вологий корм Optimeal з лососем та чорницею в желе для стерилізованих кішок та кастрованих котів (85 г),66,666,118.0,28.0
20,Сухий корм Optimeal з індичкою для цуценят усіх порід (4 кг),899,254,43.0,101.0
82,Сухий корм Optimeal Beauty з морепродуктами для підтримки загального фізичного стану у дорослих стерилізованих кішок та кастрованих котів (4 кг),"1180,14",140,16.0,20.0
28,Сухий корм Optimeal з індичкою та вівсом для стерилізованих кішок та кастрованих котів (1.5 кг),"767,52",2190,351.0,4.0
29,Сухий корм Optimeal з качкою для дорослих котів з ефектом виведення шерсті (4 кг),1160,270,34.0,88.0
157,Сухий корм Optimeal з качкою для дорослих собак малих порід (4 кг),899,353,59.0,35.0
22,Вологий корм Optimeal з кроликом у білому соусі для дорослих котів (85 г),162,2377,371.0,47.0
46,"Сухий корм Optimeal з куркою для кошенят (1,5 кг)","359,58",302,57.0,103.0
36,"Набір ""Вологий корм для кошенят з куркою"" ( 3 + 1 ) (0.34 кг)",1640,194,39.0,20.0
97,Вологий корм Optimeal з качкою та шматками печінки в яблучному желе для дорослих котів з ефектом виведення шерсті (85 г),198,720,126.0,40.0
55,"Набір ""Adult Cats Cod Fish & Vegetable Вологий корм для дорослих котів з тріскою та овочами в желе"" (3+1) (0,34 кг)",82,168,23.0,20.0
2,Сухий корм Optimeal з високим вмістом тріски для дорослих котів (700 гр),235,249,37.0,63.0
16,Консерва Optimeal Beauty зі смугастим тунцем і кільцями кальмарів у соусі для догляду за шерстю та зубами у дорослих котів (70 г),"178,5",307,53.0,61.0
25,Набір 3+1 Adult Cats Multi Taste - повнораціонний вологий корм для дорослих котів з різними смаками (340 г),"82,5",1335,254.0,47.0
7,"Набір ""Вологий корм для стерилізованих кішок з індичкою та курячим філе у соусі"" ( 3 + 1 ) (0.34 кг)",300,87,11.0,20.0
67,Сухий корм Optimeal з індичкою та вівсом для стерилізованих кішок та кастрованих котів (4 кг),882,916,127.0,82.0
111,Набір 3+1 Adult Dogs Multi Taste - повнораціонний вологий корм для дорослих собак з різними смаками (400 г),"82,5",357,80.0,20.0
103,Сухий корм Optimeal з індичкою для цуценят усіх порід (1.5 кг),"549,12",225,33.0,30.0
58,Вологий корм Optimeal з кроликом у морквяному желе для дорослих котів (85 г),108,678,114.0,55.0
62,Вологий корм Optimeal з лососем та лохиною в крем соусі для дорослих собак (100 г),28,254,31.0,35.0
113,"Набір ""Adult Cats Sensitive Digestion Lamb & Turkey Беззерновий вологий корм для котів з чутливим травленням з ягням та індичим філе в соусі"" (3+1) (0,34 кг)",100,119,15.0,20.0
56,Вологий корм Optimeal з яловичиною та індичим філе у желе для стерилізованих кішок та кастрованих котів (85 г),"336,6",982,181.0,36.0
76,Вологий корм Optimeal з фореллю в кремовому соусі для дорослих котів (85 г),108,936,183.0,55.0
77,Вологий корм Optimeal з індичкою та морквою у соусі для цуценят (100 г),"262,08",242,34.0,35.0
43,Вологий корм Optimeal з тріскою та овочами в желе для дорослих котів (85 г),324,1938,328.0,47.0
66,Сухий корм Optimeal з індичкою для дорослих собак середніх порід (4 кг),852,317,50.0,66.0
156,Сухий корм Optimeal з лососем для стерилізованих кішок та кастрованих котів (4 кг),1381,204,12.0,22.0
