UserId,DaysSinceLastPurchase,DayOfWeek,Hour,OrdersCount,TotalSpent,AveragePurchaseValue,PurchaseFreq,PreferedProduct,TotalItemsPurchased,OrderSize,LT,IsChurned,Cluster
1,0,Friday,15,3,6258.0,2086.0,0.3061224489795918,1,3,1.0,264,False,3.0
2,0,Saturday,12,18,14799.0,822.1666666666665,1.4917127071823204,49,569,14.225,332,False,-1.0
3,0,Saturday,15,2,1800.0,900.0,1.818181818181818,6,5,2.5,3,False,0.0
4,0,Wednesday,9,5,1683.0,336.6,0.2051983584131327,139,33,2.2,701,False,3.0
5,0,Sunday,7,9,2857.0,317.4444444444445,1.0588235294117647,12,9,1.0,225,False,3.0
6,0,Monday,7,4,4488.6,1122.15,0.4615384615384615,10,11,1.1,230,False,3.0
7,0,Wednesday,14,1,305.0,305.0,1.0,12,1,1.0,0,False,2.0
8,0,Wednesday,14,1,720.0,720.0,1.0,13,2,2.0,0,False,2.0
9,0,Wednesday,14,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
10,0,Wednesday,14,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
11,0,Friday,13,3,836.0,278.6666666666667,1.875,14,25,2.7777777777777777,18,False,0.0
12,0,Wednesday,13,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
13,0,Wednesday,13,1,720.0,720.0,1.0,13,2,2.0,0,False,2.0
14,0,Wednesday,13,1,2018.0,2018.0,1.0,13,3,1.5,0,False,2.0
15,0,Saturday,11,27,11381.5,421.53703703703695,1.7880794701986755,13,43,1.162162162162162,423,False,-1.0
16,0,Wednesday,13,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
17,0,Friday,10,2,720.0,360.0,1.7142857142857142,6,2,1.0,5,False,0.0
18,0,Wednesday,13,1,306.0,306.0,1.0,2,1,1.0,0,False,2.0
19,0,Wednesday,13,1,2059.0,2059.0,1.0,13,2,1.0,0,False,2.0
20,0,Tuesday,11,7,2150.0,307.14285714285717,0.5585106382978724,12,10,1.0,346,False,3.0
21,0,Wednesday,13,1,610.0,610.0,1.0,22,2,1.0,0,False,2.0
22,0,Wednesday,13,1,677.0,677.0,1.0,3,2,1.0,0,False,2.0
23,0,Friday,16,6,4403.0,733.8333333333335,0.2608695652173913,13,13,1.3,660,False,3.0
24,0,Wednesday,12,1,1080.0,1080.0,1.0,13,3,3.0,0,False,2.0
25,0,Wednesday,12,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
26,0,Wednesday,9,6,6348.0,1058.0,1.139240506329114,79,41,2.9285714285714284,128,False,1.0
27,0,Wednesday,12,1,720.0,720.0,1.0,13,2,2.0,0,False,2.0
28,0,Wednesday,12,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
29,0,Wednesday,12,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
30,0,Wednesday,12,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
31,0,Tuesday,7,3,3939.0,1313.0,0.8910891089108911,28,42,3.2307692307692313,71,False,1.0
32,0,Saturday,0,3,2520.0,840.0,2.25,13,7,2.333333333333333,10,False,-1.0
33,0,Wednesday,12,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
34,0,Wednesday,12,1,2287.0,2287.0,1.0,27,1,1.0,0,False,2.0
35,0,Wednesday,12,4,3673.0,918.25,0.1628222523744912,143,53,10.6,707,False,1.0
36,0,Wednesday,12,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
37,0,Monday,15,6,3197.0,532.8333333333334,2.02247191011236,6,9,1.2857142857142858,59,False,0.0
38,0,Wednesday,11,1,1080.0,1080.0,1.0,29,3,1.0,0,False,2.0
39,0,Wednesday,4,2,720.0,360.0,2.0,13,2,1.0,0,False,0.0
40,0,Wednesday,11,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
41,0,Wednesday,11,1,4576.0,4576.0,1.0,30,2,2.0,0,False,2.0
42,0,Tuesday,11,2,1080.0,540.0,2.0,13,3,1.0,0,False,0.0
43,0,Wednesday,11,1,4576.0,4576.0,1.0,30,2,2.0,0,False,2.0
44,0,Wednesday,11,4,2910.0,727.5,0.6818181818181819,13,33,4.125,146,False,3.0
45,0,Wednesday,11,2,1080.0,540.0,1.3953488372093024,13,3,1.0,13,False,0.0
46,0,Saturday,11,2,3463.0,1731.5,0.15113350125944586,31,4,1.0,367,False,3.0
47,0,Wednesday,10,6,8999.0,1499.833333333333,0.5438066465256798,81,6,1.0,301,False,3.0
48,0,Saturday,11,7,6429.25,918.4642857142856,0.6862745098039216,13,59,2.36,276,False,3.0
49,0,Saturday,7,3,2337.0,779.0,0.8108108108108107,36,155,38.75,81,False,-1.0
50,0,Sunday,11,4,2607.0,651.75,1.0909090909090908,39,79,7.9,80,False,1.0
51,0,Saturday,11,14,8434.0,602.4285714285714,1.7721518987341771,43,440,5.432098765432099,207,False,-1.0
52,0,Wednesday,11,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
53,0,Friday,11,2,1052.0,526.0,0.15625,13,3,1.0,354,False,3.0
54,0,Wednesday,9,3,994.0,331.3333333333333,2.0454545454545454,3,3,1.0,14,False,0.0
55,0,Wednesday,11,10,3826.0,382.6,0.6622516556291391,90,91,3.7916666666666665,423,False,1.0
56,0,Wednesday,11,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
57,0,Wednesday,11,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
58,0,Thursday,11,3,2160.0,720.0,2.0454545454545454,13,6,1.2,14,False,0.0
59,0,Saturday,10,8,1926.0,240.75,1.818181818181818,42,80,1.7391304347826086,102,False,0.0
60,0,Monday,10,3,994.0,331.3333333333333,2.142857142857143,3,3,1.0,12,False,0.0
61,0,Wednesday,10,2,1080.0,540.0,2.0,13,3,1.5,0,False,0.0
62,0,Wednesday,10,1,1539.0,1539.0,1.0,47,1,1.0,0,False,2.0
63,0,Wednesday,10,1,720.0,720.0,1.0,13,2,2.0,0,False,2.0
64,0,Tuesday,10,3,1800.0,600.0,3.0,13,5,1.6666666666666667,0,False,-1.0
65,0,Wednesday,10,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
66,0,Monday,14,6,4350.0,725.0,1.1464968152866242,48,290,24.16666666666667,127,False,-1.0
67,0,Wednesday,10,4,2249.0,562.25,0.6818181818181819,57,31,1.631578947368421,146,False,3.0
68,0,Wednesday,10,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
69,0,Wednesday,10,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
70,0,Wednesday,10,2,720.0,360.0,2.0,13,2,1.0,0,False,0.0
71,0,Saturday,10,3,1916.0,638.6666666666666,0.36437246963562747,12,28,3.5,217,False,3.0
72,0,Wednesday,10,1,360.0,360.0,1.0,13,1,1.0,0,False,2.0
73,0,Wednesday,10,2,720.0,360.0,2.0,13,2,1.0,0,False,0.0
74,0,Monday,10,14,2181.0,155.78571428571428,1.3084112149532712,120,37,2.055555555555556,291,False,-1.0
