UserId,DaysSinceLastPurchase,DayOfWeek,Hour,OrdersCount,TotalSpent,AveragePurchaseValue,PurchaseFreq,PreferedProduct,TotalItemsPurchased,OrderSize,LT,IsChurned,Cluster
1,0,Thursday,12,5,15582.26,3116.452,0.5084745762711864,59,8,1.3333333333333333,265,False,1.0
2,0,Monday,11,2,1170.88,585.4399999999998,1.0,83,2,1.0,30,False,0.0
3,0,Wednesday,14,1,2603.0,2603.0,1.0,3,1,1.0,0,False,0.0
4,0,Wednesday,14,1,1573.26,1573.26,1.0,5,4,2.0,0,False,0.0
5,0,Wednesday,14,1,517.92,517.92,1.0,6,2,2.0,0,False,0.0
6,0,Friday,10,2,1175.76,587.88,1.0714285714285714,7,25,8.333333333333334,26,False,2.0
7,0,Wednesday,14,1,1258.58,1258.58,1.0,2,2,1.0,0,False,0.0
8,0,Monday,10,22,29980.98,1362.7718181818182,1.3279678068410463,107,244,4.206896551724138,467,False,-1.0
9,0,Monday,13,9,5099.5,566.6111111111112,0.9,4,9,1.0,270,False,1.0
10,0,Wednesday,13,1,1160.0,1160.0,1.0,11,1,1.0,0,False,0.0
11,0,Friday,12,16,18616.18,1163.5112499999998,1.3186813186813189,32,24,1.0,334,False,-1.0
12,0,Friday,9,3,3039.24,1013.08,0.5142857142857143,39,5,1.0,145,False,1.0
13,0,Saturday,19,7,3982.76,568.9657142857143,1.0994764397905759,4,7,1.0,161,False,3.0
14,0,Wednesday,12,1,2603.0,2603.0,1.0,3,1,1.0,0,False,0.0
15,0,Wednesday,12,1,707.76,707.76,1.0,13,13,6.5,0,False,0.0
16,0,Monday,13,7,6186.08,883.7257142857143,0.9905660377358492,12,50,4.166666666666667,182,False,2.0
17,0,Wednesday,11,1,359.58,359.58,1.0,14,1,1.0,0,False,0.0
18,0,Sunday,11,4,835.1800000000002,208.795,1.9047619047619049,15,7,1.75,33,False,3.0
19,0,Monday,11,3,1367.76,455.92,0.6293706293706294,10,3,1.0,113,False,1.0
20,0,Friday,10,4,2676.0,669.0,0.20725388601036268,46,19,3.1666666666666665,549,False,1.0
21,0,Wednesday,10,1,805.74,805.74,1.0,10,2,1.0,0,False,0.0
22,0,Wednesday,10,1,539.0,539.0,1.0,19,5,1.6666666666666667,0,False,0.0
23,0,Saturday,10,7,2862.1,408.8714285714285,1.1666666666666667,2,8,1.0,150,False,3.0
24,0,Wednesday,10,2,1258.7,629.35,1.3953488372093024,15,24,2.1818181818181817,13,False,3.0
25,0,Sunday,10,2,1656.0,828.0,0.2112676056338028,107,2,1.0,254,False,1.0
26,0,Wednesday,9,5,1936.03,387.206,1.4705882352941178,14,10,1.6666666666666667,72,False,3.0
27,0,Thursday,9,2,660.0,330.0,0.7792207792207793,23,8,4.0,47,False,0.0
28,0,Monday,9,2,737.5999999999998,368.8,0.4918032786885246,14,2,1.0,92,False,1.0
